id,corpus,sentence,token,complexity,biomedical,bible,subtitles,wiki,familarity
3E9ZFLPWOYSW5RZR0XSUAQ7AQXIIXZ,bible,burnt offering prince shall offer yahweh shall sabbath day six lamb without blemish ram without blemish,burnt offering,0.4305555555555556,1,0,1,0,0.0
3VZYA8PITOYCWDY1Q1KTC3GUB4S05D,bible,give thanks uprightness heart learn righteous judgment,righteous judgment,0.225,1,0,1,1,216.5
3C8QQOM6JP115XI2MEP6ZWCNJO8ILD,bible,yahweh merciful gracious god slow anger abundant loving kindness truth,gracious god,0.23214285714285715,1,1,1,1,500.0
3B9XR6P1WEVLNZGWDJLCXUVIK9JBJV,bible,threshing floor full wheat vat overflow new wine oil,new wine,0.23214285714285715,1,0,1,0,592.0
3AXFSPQOYQYB0GSCIL78GKM3Z7CFJI,bible,shall eat fruit livestock fruit ground destroyed also shall leave grain new wine oil increase livestock young flock caused perish,new wine,0.40909090909090906,1,0,1,0,592.0
34F34TZU7WZRZMG0UQS1W1SEQ372JL,bible,went second day behold two men hebrew fighting,second day,0.2333333333333333,0,0,0,0,596.5
3UY4PIS8QRLGTRPPQKKFKPZQ7HXN1S,bible,king spoke said wise men babylon whoever shall read writing show interpretation shall clothed purple chain gold neck shall third ruler kingdom,third ruler,0.2333333333333333,1,0,1,0,285.5
3QQUBC64ZEEOJSAIXD5MFY3RCWCXNU,bible,earth inhabitant quake,inhabitant quake,0.2333333333333333,1,1,1,1,471.5
3ICOHX7ENCBCSWRU12DWGXM7OXR0EE,bible,notable prisoner called barabbas,notable prisoner,0.2361111111111111,1,1,1,0,242.5
32PT7WK7DMF3HICROUKVCD2TRXA3DJ,bible,hear therefore send back captive taken captive brother fierce wrath yahweh,fierce wrath,0.2361111111111111,1,1,1,1,233.0
3TLFH2L6Y9OLDPC56K65Y7FNO5Y2TQ,bible,didnt obey voice yahweh didnt execute fierce wrath amalek therefore yahweh done thing day,fierce wrath,0.33333333333333337,1,1,1,1,233.0
338GLSUI43B4ZJB25FGM8LDQVQOFSX,bible,first must suffer many thing rejected generation,many thing,0.2361111111111111,1,0,0,0,593.0
33NOQL7T9OZSLGNTST4OUMT7V1B8ZE,bible,loving doe graceful deer let breast satisfy time,graceful deer,0.2361111111111111,1,1,1,1,511.0
3YD0MU1NC21NKUA26WWJZT63BWZA7T,bible,whoever doesnt fall worship shall cast midst burning fiery furnace,fiery furnace,0.2368421052631579,1,1,1,1,203.0
3CMIQF80GNQW3A3ECIODJFLCK306QW,bible,three men shadrach meshach abednego fell bound midst burning fiery furnace,fiery furnace,0.325,1,1,1,1,203.0
3HYV4299H0WUALWXW6QB9CSP7V38E9,bible,spent enough past time desire gentile walked lewdness lust drunken binge orgy carousings abominable idolatry,drunken binge,0.2368421052631579,1,1,1,1,0.0
3UEDKCTP9VQTW7JOIN98T79ZG8T7K5,bible,shall put holy linen coat shall linen breech body shall put linen sash shall clothed linen turban,linen sash,0.25,1,1,1,1,450.0
37NXA7GVST66R322LLOPEL2HRQ4VLN,bible,shall eat bitter herb,bitter herb,0.25,1,1,1,0,520.0
3CMIQF80GNQW3A3ECIODJFLCK30Q6G,bible,second month fourteenth day evening shall keep shall eat unleavened bread bitter herb,bitter herb,0.3666666666666667,1,1,1,0,520.0
3VI0PC2ZAYK61DAUYS5ZUN3W26HXO9,bible,native showed u uncommon kindness kindled fire received u present rain cold,uncommon kindness,0.25,1,1,1,1,280.0
3FVBZG9CLJEOC6IWR3L210JKGDJ0HU,bible,provoked anger engraved image foreign vanity,engraved image,0.25,1,1,1,1,0.0
31D0ZWOD0AZ92JAILXBAKEWG3ITA0T,bible,cut engraved image pillar midst shall worship work hand,engraved image,0.2666666666666667,1,1,1,1,0.0
3QI9WAYOGQB8GQIR4MDIEF0D2RL6SL,bible,hand found kingdom idol whose engraved image exceeded jerusalem samaria,engraved image,0.4166666666666666,1,1,1,1,0.0
3APP19WN71E5QL909MJ1P1HAEGRG6B,bible,therefore behold day come say yahweh execute judgment engraved image land wounded shall groan,engraved image,0.4166666666666666,1,1,1,1,0.0
3T6EIBTM9LO53W80DZ839K8TC45AAK,bible,wicked like troubled sea cant rest water cast mire dirt,troubled sea,0.25,1,0,1,1,268.5
3HXK2V1N4KFH8KQZMK7YZO0YYBQ2GH,bible,happened time wheat harvest samson visited wife young goat said go wife room,wheat harvest,0.25,1,0,1,1,488.0
3OWZNK3RYLP0D2RU6PWF331P7J52UH,bible,west border shore great sea,west border,0.25,1,0,1,0,526.0
371DNNCG442WZ4EUM1F68YSQA5P8TY,bible,heshbon city sihon king amorites fought former king moab taken land hand even arnon,former king,0.25,1,0,1,0,522.5
3909MD9T2ZH3P06K4KWHJ49BUZGFEX,bible,captain fifty honorable man counselor skilled craftsman clever enchanter,skilled craftsman,0.25,1,1,1,1,0.0
30Y6N4AHYPWV0KXTZKLRUB59XBPDRW,bible,let poor needy praise name,needy praise,0.25,1,1,1,1,251.0
3GS542CVJVNUS7MEQX3M5EHNE8L95X,bible,cutting stone setting carving wood work kind skillful workmanship,skillful workmanship,0.25,1,1,1,1,0.0
31MCUE39BKM6T2MIQKL3IY5Q4PPG35,bible,burden egypt behold yahweh ride swift cloud come egypt,swift cloud,0.25,1,1,1,1,530.0
3D4BBDG7ZHWTCQ6DOYPKS7KB6XY3CJ,bible,stayed close maiden boaz glean end barley harvest wheat harvest lived motherinlaw,barley harvest,0.25,1,1,1,1,233.0
3WRBLBQ2GR8ACANL7X3KG07J1D60GV,bible,put death day harvest first day beginning barley harvest,barley harvest,0.2777777777777778,1,1,1,1,233.0
36KM3FWE3RCRJHCKEUZQANUQ2AN07S,bible,naomi returned ruth moabitess daughterinlaw returned country moab came bethlehem beginning barley harvest,barley harvest,0.33333333333333337,1,1,1,1,233.0
3JYPJ2TAYI87MRVADYCSDG8F86IFPI,bible,said certainly tell standing way taste death see kingdom god come power,taste death,0.25,1,1,0,0,580.5
3WKGUBL7SZM7XQJN1PN25V24E684LL,bible,displeased jonah exceedingly angry,displeased jonah,0.25,1,1,1,1,0.0
3D1UCPY6GG9R0NG07M9FQLOSG6D38D,bible,happened hiram heard word solomon rejoiced greatly said blessed yahweh day given david wise son great people,wise son,0.26190476190476186,1,0,1,0,570.0
3D5G8J4N5A4UAGA7UUQG0CCYL3QVTQ,bible,fatal wound healed whole earth marveled beast,fatal wound,0.26190476190476186,1,1,1,1,237.0
3HEA4ZVWVDMBRKK2N7Q5TYCLSC3553,bible,sacrifice yearly reminder sin,yearly reminder,0.26190476190476186,1,1,1,1,271.5
35A1YQPVFEGN38FHUR9ZI7GQXY95ID,bible,armor bearer said heart,armor bearer,0.26388888888888884,1,1,1,1,188.0
3HXK2V1N4KFH8KQZMK7YZO0YYBQG2V,bible,armor bearer would terrified,armor bearer,0.2894736842105263,1,1,1,1,188.0
3ICOHX7ENCBCSWRU12DWGXM7OXQE0R,bible,called hastily young man armor bearer said draw sword kill men say woman killed,armor bearer,0.35,1,1,1,1,188.0
3OKP4QVBP2X6DNL3ZZ0D56JWAZHGA1,bible,saul said armor bearer draw sword thrust lest uncircumcised come thrust abuse,armor bearer,0.3529411764705882,1,1,1,1,188.0
3XBXDSS888JYVS7XL0P726Z271CXLS,bible,armor bearer saw saul dead likewise fell sword died,armor bearer,0.3611111111111112,1,1,1,1,188.0
3TZDZ3Y0JS6V4PLVPA1A2O462SG197,bible,thus say yahweh army fast fourth fifth seventh tenth month shall house judah joy gladness cheerful feast,cheerful feast,0.26388888888888884,1,1,1,1,497.0
3SNR5F7R92TNZR8A5S22M1M3AR8IER,bible,thus returned u answer saying servant god heaven earth building house built many year ago great king israel built finished,great king,0.26388888888888884,1,0,0,0,555.0
3HA5ODM5KASTVGXS5ULQQ7GCJKCSVY,bible,song night holy feast kept gladness heart one go flute come yahweh mountain israel rock,holy feast,0.2666666666666667,1,0,1,0,228.5
322ZSN9Z5GKVG3RSAYPTRMCL8JU4TO,bible,various kind gift spirit,various kind,0.2666666666666667,1,1,1,0,287.5
31D0ZWOD0AZ92JAILXBAKEWG3IT0AJ,bible,know death utterly corrupt yourselves turn aside way commanded evil happen latter day evil sight yahweh provoke anger work hand,corrupt yourselves,0.2678571428571429,1,1,1,1,0.0
382GHPVPHSRQHMTYVJJ2998NEKH346,bible,none like earth blameless upright man one fear god turn away evil,upright man,0.2678571428571429,1,0,1,1,551.5
3L55D8AUFAXUST31DJIAI1GOFYTCYY,bible,shall house diverse measure great small,diverse measure,0.2678571428571429,1,1,1,0,277.5
33NKDW9FFXI5SODR8NW8ZN9FDSZCXS,bible,bronze altar yahweh brought forefront house altar house yahweh put north side altar,north side,0.2678571428571429,1,0,1,0,283.0
371Q3BEXDH9A40226RATBDT87VISZY,bible,soldier twisted thorn crown put head dressed purple garment,twisted thorn,0.2678571428571429,1,1,1,1,227.0
3ZFRE2BDQ9EI0HO101GGALA0MAKXZB,bible,thing displeased samuel said give u king judge u,displeased samuel,0.27380952380952384,1,1,1,1,0.0
32L724R85LKRWIX0E6IDGDL7OY9IPB,bible,zedekiah king sent took jeremiah prophet third entry house yahweh king said jeremiah ask something,third entry,0.275,1,1,1,0,246.0
3E9VAUV7BWE6ZE63T5MJC6Q0FV7YAH,bible,please king let royal commandment go let written among law persian medes altered vashti may never come king ahasuerus let king give royal estate another better,royal commandment,0.275,1,1,1,0,0.0
3BAWBGQGYLZ7CID0HRNFVGKGW607VR,bible,good man good treasure heart brings good evil man evil treasure heart brings evil abundance heart mouth speaks,evil treasure,0.275,1,0,1,0,269.0
